parameter,cluster,bus,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
load,0,45,181.87960000000004,172.2934,166.1914,164.0146,167.92219999999998,175.07440000000003,178.0498,185.78680000000003,199.49320000000003,216.02379999999997,232.983,249.1802,264.2203999999999,276.4552,284.594,289.3344000000001,291.3248,288.27179999999987,278.1242,266.92060000000004,254.3696,235.07140000000007,214.5166,197.02300000000002
load,0,46,88.2712,84.531,81.9526,80.67300000000002,81.62220000000003,84.366,84.73459999999999,89.57140000000001,97.43979999999999,105.84320000000001,113.68419999999998,120.38279999999995,125.88000000000002,129.55339999999995,130.8974,130.9406,129.01959999999997,125.2304,120.49839999999999,117.63119999999995,114.09400000000001,107.4094,99.99520000000001,93.375
load,0,47,841.6283999999999,797.2688,769.0351999999999,758.9608000000001,777.0414000000002,810.1357999999999,823.9076000000003,859.7102,923.1332000000001,999.6315999999999,1078.1067999999996,1153.0546000000002,1222.6526000000003,1279.2669999999996,1316.9309999999998,1338.8647999999998,1348.0752000000002,1333.9467999999997,1286.9879999999998,1235.1442000000002,1177.0682000000002,1087.7690000000002,992.6542000000002,911.7049999999997
load,0,48,24.079600000000006,23.2634,22.6122,22.2712,22.388800000000007,23.075599999999998,23.428000000000008,24.387999999999998,25.918000000000003,27.685000000000006,29.617400000000007,31.392599999999987,33.04779999999999,34.32319999999999,35.158199999999994,35.60900000000001,35.4368,34.749399999999994,33.565,32.20219999999999,30.8954,28.948000000000008,27.003599999999995,25.42139999999999
load,0,49,164.92940000000007,157.94299999999998,153.12439999999998,150.73160000000004,152.5066,157.63320000000002,158.32219999999998,167.358,182.06020000000004,197.76199999999997,212.4135999999999,224.92859999999996,235.1992,242.0634,244.57379999999998,244.6548,241.06619999999992,233.98539999999997,225.14519999999996,219.78660000000002,213.18040000000005,200.68760000000003,186.8362,174.46540000000005
load,0,50,732.3683999999998,721.8219999999998,714.1399999999999,709.2492,709.2024,712.4014,713.2440000000003,725.977,746.9343999999999,767.0607999999999,787.7832000000001,806.9362,825.2274000000001,838.2794000000001,845.6192,848.6642000000002,845.3808,838.4326000000001,827.2571999999997,811.6605999999999,800.7141999999999,781.5478000000003,765.6373999999997,750.0485999999999
load,0,51,211.11319999999995,202.17059999999998,196.00319999999996,192.9402,195.2112,201.77419999999998,202.65640000000008,214.2222,233.04180000000005,253.13999999999993,271.8943999999999,287.91360000000003,301.05980000000005,309.84680000000003,313.06160000000006,313.164,308.57099999999997,299.5074000000001,288.19140000000004,281.3324,272.87600000000003,256.88559999999984,239.15519999999992,223.32080000000008
load,0,52,290.3206,275.0192,265.2792,261.80500000000006,268.0406000000001,279.4574,284.20760000000007,296.55820000000006,318.43580000000003,344.82380000000006,371.894,397.7476000000001,421.75519999999995,441.2842,454.27740000000006,461.84320000000014,465.0204000000001,460.1468,443.9489999999997,426.06460000000015,406.0311999999999,375.2268,342.4178,314.49340000000007
load,0,53,434.1048,427.8521999999999,423.29959999999994,420.4002000000002,420.37159999999994,422.2691999999999,422.7682000000001,430.31640000000004,442.7384,454.6685999999999,466.9498,478.30360000000013,489.1462,496.88179999999994,501.23279999999994,503.038,501.09119999999996,496.97399999999993,490.3481999999999,481.1046000000001,474.6162000000001,463.25380000000007,453.82380000000006,444.5832000000001
load,0,54,92.40720000000002,88.80040000000001,86.43679999999999,86.0214,87.8584,91.50499999999998,94.19560000000001,100.10880000000002,108.54360000000001,117.26000000000003,125.60580000000002,133.01100000000005,139.43940000000003,143.5602,145.61220000000006,145.53000000000003,144.89139999999998,141.5882,135.7468,131.24120000000002,124.7132,115.52699999999999,106.67759999999998,99.60879999999999
load,0,55,392.1462,373.83400000000006,361.92199999999997,358.1086,365.8345999999999,380.7162000000001,388.7723999999999,411.0253999999999,445.5236000000001,486.5878,525.9906000000001,561.3304,591.6715999999999,614.1100000000001,627.7214,634.6968,633.0283999999999,619.0368000000003,592.5452,567.6525999999998,541.5058,500.903,459.16919999999993,423.65539999999993
load,0,56,132.886,125.88179999999998,121.42320000000005,119.83400000000002,122.68859999999997,127.91380000000005,130.08819999999997,135.7406,145.7556,157.83280000000002,170.22400000000005,182.05739999999997,193.0466,201.98519999999996,207.93200000000002,211.3953999999999,212.85020000000003,210.61960000000008,203.20500000000004,195.01879999999997,185.8491999999999,171.74960000000002,156.73240000000004,143.9514
load,0,57,504.0533999999999,486.6414,476.87239999999997,476.2314,486.86320000000006,499.7856,507.2882000000001,536.0091999999997,578.0247999999999,622.6706,662.9404000000001,695.0324000000002,720.5871999999998,735.3966000000004,739.9849999999999,736.8601999999997,724.9896000000001,703.9021999999999,679.6175999999999,662.493,638.7058000000001,601.9696,563.4366000000001,529.9956
load,0,58,518.3907999999999,499.8214,487.60979999999984,482.5346,489.44019999999995,504.45059999999995,513.8011999999999,542.8684,581.6259999999999,625.0897999999999,668.5203999999998,707.7661999999999,741.9125999999998,766.3104000000001,781.4338000000002,787.0632,779.6302000000001,764.4155999999999,735.5192,705.4964,675.1519999999998,630.28,585.6786000000001,549.4159999999999
